OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,ORDEN,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
1,2, , ,Paso por Caldas,25ANF, ,Primer Orden, , , ,Paso por Caldas,Paso por Caldas, ,10.4,10.5,7.0,0,0, , ,10510.528517178196,6c5fbe9d-5225-488e-ac93-656a1825f663
2,2, , ,La Fabiana - El Líbano - Támesis,25AN01-1, ,Segundo Orden, , , ,La Fabiana, Támesis, ,17.0,16.4,6.78,0,0, , ,17040.04810783599,eed76332-8bd4-410b-b0db-8b754ba491b9
3,2, , ,Támesis - Puente Lata,25AN01-2-1, ,Tercer Orden, , , ,Támesis, Puente Lata, ,21.0,20.5,3.5,0,0, , ,20503.246239431104,15bc3ccc-c5d0-443e-bb33-2a27cdae1019
4,2, , ,Santa Bárbara (Ruta 25 ) - Ye a Fredonia - Fredonia,25AN02, ,Segundo Orden, , , ,Santa Bárbara (Ruta 25 ), Fredonia, ,27.0,25.9,3.583933,0,0, , ,26262.79806284498,49fc20d2-35c2-42f2-a77d-3f6b34be58bf
5,2, , ,La Granja (Montebello) - El Retiro,25AN03-1, ,Segundo Orden, , , ,La Granja (Montebello), El Retiro, ,25.6,25.6,4.22944,0,0, , ,25519.26960496812,7f7aeb6a-8d1d-4c93-836f-9ee287886e80
6,2, , ,Montebello - El Cairo,25AN03-2, ,Tercer Orden, , , ,Montebello, El Cairo, ,23.7,22.4,4.085791,0,0, , ,22455.68782481307,1a7ddaf1-cc0d-4dd4-bc59-03cba0921323
7,2, , ,Caldas - Angelópolis,25AN05, ,Segundo Orden, , , ,Caldas, Angelópolis, ,14.2,13.8,6.0,0,0, , ,13859.329210738717,ffa4d808-ee9e-48cf-be16-759b794bb2f1
8,2, , ,Variante Don Matías (Ruta 25) - Río Chico - Entrerríos,25AN06, ,Segundo Orden, , , ,Variante Don Matías (Ruta 25),Entrerríos., ,24.9,24.8,6.954706,0,0, , ,24647.755493612513,c9d2696c-63e8-473c-8f10-7f7b480bd0d3
9,2, , ,La Cabaña (Ruta 25) - Puente Gavino.,25AN07, ,Tercer Orden, , , ,La Cabaña (Ruta 25),Puente Gavino., ,37.5,39.0,5.0,0,0, , ,38084.63438653425,5a03bd16-8243-411d-8142-85c166a21259
10,2, , ,El Roble (Ruta 25) - La Ye (Partidas Angostura) - La Herradura,25AN09, ,Segundo Orden, , , ,El Roble (Ruta 25), La Herradura, ,38.8,37.5,6.199884,0,0, , ,37828.01857679509,9e0b4f62-9ec2-4d99-8df0-b914848c0f22
11,2, , ,La Ese - Angostura - La Ye (Partidas Angostura),25AN09-1, ,Segundo Orden, , , ,La Ese,La Ye (Partidas Angostura), ,32.4,32.5,6.25,0,0, , ,32499.622827411236,c3c25777-0e6e-4fb0-b9c0-7be220741694
12,2, , ,Yarumal - La Ese - Campamento,25AN12, ,Segundo Orden, , , ,Yarumal,Campamento., ,19.1,19.5,6.076923,0,0, , ,19542.936689195794,490e6d5f-bf5b-4430-8e88-1a6e0486873c
13,2, , ,Campamento - Ye de Anorí,25AN12-1, ,Tercer Orden, , , ,Campamento, Ye de Anorí, ,37.0,36.9,3.11726,0,0, , ,36898.41983111728,cbffebf3-404c-4184-8b61-1a8a3735840a
14,2, , ,Anorí - El Mango,25AN12-1-1, ,Segundo Orden, , , ,Anorí, El Mango, ,55.5,54.1,6.378378,0,0, , ,57090.45482288611,46a29e2d-d2d6-464d-9f25-54980784eeff
15,2, , ,San Fermín (Ruta 25) - Briceño,25AN13, ,Segundo Orden, , , ,San Fermín (Ruta 25), Briceño, ,28.6,28.1,6.140351,0,0, , ,28377.264592524007,d546f6b3-e640-4785-b413-6ff2d2dd2545
16,2, , ,Paso por Valdivia,25AN14, ,Segundo Orden, , , ,Paso por Valdivia,Paso por Valdivia, ,1.8,1.9,7.0,0,0, , ,1872.4377679582508,7514647e-af70-422c-8474-ed492d1abdd8
17,2, , ,Paso por Cáceres,25AN15, ,Segundo Orden, , , ,Paso por Cáceres,Paso por Cáceres, ,3.4,3.3,6.22,0,0, , ,3284.0894979921513,e8615825-2f77-4e7b-b800-1d4a64f71448
18,2, , ,Jardín (Ruta 25) - Manizales (Límites con Departamento de Córdoba).,25AN16, ,Tercer Orden, , , ,Jardín (Ruta 25),Manizales (Límites con Departamento de Córdoba)., ,20.9,20.9,5.0,0,0, , ,21983.828275945678,10b7c235-3055-4d01-ab59-a7026170c2cd
19,2, , ,Partidas de Zaragoza - El Bagre,25AN17-1, ,Tercer Orden, , , ,Partidas de Zaragoza, El Bagre, ,18.5,18.6,4.717778,0,0, , ,18576.352619121903,6f2362d3-c7a7-4515-b7cc-9181a267d13b
20,2, , ,Zaragoza (incluye variante Segovia) - La Cruzada - Belén - Remedios,25AN17-2, ,Segundo Orden, , , ,Zaragoza (incluye variante Segovia), Remedios, ,69.9,69.9,6.0,0,0, , ,69593.72165699859,e69f7b38-f225-4b6b-bd29-5702a4230cfb
21,2, , ,Belén - El Chispero - La Cruzada,25AN17-2-1, ,Tercer Orden, , , ,Belén,La Cruzada, ,14.6,14.6,5.0,0,0, , ,14444.425968485644,b1c20487-065e-45b3-be43-1010726cbaa3
22,2, , ,La Cruzada - Segovia,25AN17-2-2, ,Segundo Orden, , , ,La Cruzada, Segovia, ,3.0,3.0,6.333333,0,0, , ,3024.461088186796,dd707ca2-ef0a-47a5-adc8-6b158d2a4066
23,2, , ,Campo Alegre (Ruta 25 - Caucasia) - Nechí,25AN18, ,Segundo Orden, , , ,Campo Alegre (Ruta 25 - Caucasia),Nechí., ,65.8,65.8,7.019375,0,0, , ,65824.78412326855,4af195c2-c13b-4810-8e24-cc6541db09b7
24,2, , ,Puente Iglesias (Ruta 25B) - Fredonia,25BAN01, ,Segundo Orden, , , ,Puente Iglesias (Ruta 25B),Fredonia, ,23.3,22.9,7.659574,0,0, , ,22542.092028003804,9236116b-f9a3-4130-b619-2e21a7af9436
25,2, , ,Jamaica (Ruta 25B) - Canaán - Jericó,25BAN02, ,Segundo Orden, , , ,Jamaica (Ruta 25B),Jericó, ,22.6,21.7,6.913043,0,0, , ,22382.932864197664,9773206c-2d95-4968-826c-2ffd44707413
26,2, , ,Canaan - Tarso,25BAN02-1, ,Segundo Orden, , , ,Canaan, Tarso, ,6.4,6.4,7.307692,0,0, , ,6477.166956563298,bc689054-8f66-41a5-ada3-c691fbe0c596
27,2, , ,Pueblorrico - La Bodega - Peñalisa (Ruta 25B),25BAN03, ,Tercer Orden, , , ,Pueblorrico,Peñalisa (Ruta 25B), ,27.0,26.1,4.415254,0,0, , ,26196.661963626626,842da42b-fd7c-4792-b1a8-647dcde89484
28,2, , ,La Bodega - Tarso - Pueblorrico,25BAN03-1, ,Segundo Orden, , , ,La Bodega, Pueblorrico, ,22.1,21.4,6.192308,0,0, , ,22266.125329121733,8fb347f8-dfba-4be7-99e7-7f97eb06d3df
29,2, , ,Pueblorrico - Jericó,25BAN03-2, ,Segundo Orden, , , ,Pueblorrico, Jericó, ,11.0,10.4,4.740702,0,0, , ,10503.376599253676,f93586d1-56de-4eb1-a34d-d5fb64cc64f8
30,2, , ,Altamira - Betulia,25BAN04-1, ,Tercer Orden, , , ,Altamira, Betulia, ,33.3,31.7,5.62196,0,0, , ,31692.69796778443,d138b664-1aa3-4f35-b53b-099e6085d949
31,2, , ,Betulia - Urrao,25BAN04-1-1, ,Segundo Orden, , , ,Betulia, Urrao, ,36.6,37.3,6.089189,0,0, , ,37326.450883604055,a73cde61-ab7c-4938-a650-0af9ea7357fb
32,2, , ,Altamira - San José,25BAN04-2, ,Segundo Orden, , , ,Altamira, San José, ,30.1,29.9,3.0,0,0, , ,29955.46284437027,3cc7279e-2a4f-4504-9f76-121c21477919
33,2, , ,Ramal a Anzá,25BAN05, ,Segundo Orden, , , ,Ramal a Anzá,Ramal a Anzá, ,1.7,1.5,6.0,0,0, , ,1499.9760708560786,e7c852f4-c557-4acc-9d62-9d276d29c69c
34,2, , ,La Usa (Río Cauca) - Caicedo,25BAN06, ,Segundo Orden, , , ,La Usa (Río Cauca), Caicedo, ,37.7,38.9,5.0,0,0, , ,37791.6773228107,8901c6ec-fe2e-4b71-a855-b58cad0c77c2
35,2, , ,Caicedo - Urrao,25BAN06-1, ,Segundo Orden, , , ,Caicedo, Urrao, ,31.9,31.5,3.539514,0,0, , ,31631.321589583924,ad5b4083-13c7-4e15-a63e-6e5a2706fe42
36,2, , ,El Boton - Frontino,62AN08, ,Segundo Orden, , , ,El Boton, Frontino, ,47.56,47.45127223,7.0,0,0, , ,45542.593460702905,f562b958-f284-40cf-9e1b-eb0c42dd957b
37,2, , ,Uramita - Peque,62AN09, ,Tercer Orden, , , ,Uramita, Peque, ,62.86,62.64908527,5.0,0,0, , ,63531.8174749299,863ceeb0-09de-46b7-a7bf-b8f0632690e1
38,2, , ,Chorodó (Ruta 62) - Frontino,62AN10, ,Segundo Orden, , , ,Chorodó (Ruta 62), Frontino, ,10.1,9.99838879,7.0,0,0, , ,10043.666172868352,eee6f891-625f-4b84-853b-29346c5cb4e0
39,2, , ,Frontino - La Balsa,62AN10-1, ,Tercer Orden, , , ,Frontino, La Balsa, ,0.0,0.0,4.334,0,0, , ,15518.411942695931,e5f8c782-4ad8-4c35-b772-300c63a5b83d
40,2, , ,Buenos Aires (Ruta 62) - Abriaquí,62AN11, ,Tercer Orden, , , ,Buenos Aires (Ruta 62), Abriaquí, ,25.88,26.52117822,5.0,0,0, , ,25971.756147235392,acdcf0eb-62c4-4d62-9565-999b5cde0521
41,2, , ,Manglar (Ruta 62) - Giraldo,62AN12, ,Tercer Orden, , , ,Manglar (Ruta 62), Giraldo, ,3.44,3.54393189,6.0,0,0, , ,3583.82606848411,383a332b-9e88-42a4-8f3b-f99cf106c829
42,2, , ,Pinguro - Buriticá,62AN13, ,Tercer Orden, , , ,Pinguro, Buriticá, ,6.95,6.4810743,6.0,0,0, , ,6700.185100119582,5a8f8fac-8e6b-453e-8cd4-0c6cad4e951c
43,2, , ,Puente de Occidente - Olaya - Liborina,62AN14, ,Segundo Orden, , , ,Puente de Occidente,Liborina, ,15.6,15.72248305,5.96875,0,0, , ,15722.71796405493,81f6eaf1-bb10-43da-8a4b-f90e114e4a76
44,2, , ,Liborina - Partidas (San Jose De la Montaña),62AN14-1, ,Tercer Orden, , , ,Liborina, Partidas (San Jose De la Montaña), ,40.22,39.88863365,5.0,0,0, , ,39880.36539225844,a572bcc0-313e-4c69-9a86-63f19fc25380
45,2, , ,Liborina - Sabanalarga,62AN14-2, ,Segundo Orden, , , ,Liborina, Sabanalarga, ,33.5,33.18066758,6.058824,0,0, , ,33311.48943439692,bf984d5d-70b9-4a6b-8d36-08f9bcb19c23
46,2, , ,La Miserenga (Cruce Ruta 62) - Ebéjico - Heliconia - Alto del Chuscal,62AN17, ,Segundo Orden, , , ,La Miserenga (Cruce Ruta 62), Alto del Chuscal, ,69.0,68.5457444,4.944412,0,0, , ,68649.35383776783,316c5377-f8cf-46cb-8c35-a4c99eac6fbf
47,2, , ,Alto del Chuscal - San Antonio de Prado,62AN17-1, ,Segundo Orden, , , ,Alto del Chuscal, San Antonio de Prado, ,8.0,8.2512768,5.9375,0,0, , ,8300.188030748543,989485b2-c906-4858-8706-547c3fa29667
48,2, , ,Pajarito - San Pedro de Los Milagros - La Ye - Entrerríos - Santa Rosa de Osos (cruce ruta 25),62AN18, ,Primer Orden, , , ,Pajarito, Santa Rosa de Osos, ,61.76,61.40952427,7.154472,0,0, , ,63617.14732655771,3a33e95f-d2ca-4cf7-8d73-94b25c90370e
49,2, , ,San Pedro de los Milagros - Río Chico,62AN18-1, ,Tercer Orden, , , ,San Pedro de los Milagros,Cruce Variante (Don Matías - Entrerríos), ,23.1,23.01713595,3.960939,0,0, , ,22651.787962968996,cae1765b-d79f-4c6d-be94-59809a61032d
50,2, , ,La Ye - Belmira,62AN18-2, ,Segundo Orden, , , ,La Ye, Belmira, ,19.1,19.04740927,7.4125,0,0, , ,19006.679017380648,952b6ddd-3953-4709-a2ae-947f1fda902e
51,2, , ,La Apartada (San José de La Montaña) - Partidas (San Jose de la Montaña) - Toledo - Matanzas,62AN18-3-1, ,Tercer Orden, , , ,La Apartada, Matanzas, ,51.0,48.54654755,3.24465,0,0, , ,48772.57236964249,020bfbd6-7455-43f6-bfd6-ed4e11237d33
52,2, , ,Barbosa - Concepción,62AN19, ,Segundo Orden, , , ,Barbosa, Concepción, ,23.0,22.90096254,4.285742,0,0, , ,22603.979825604183,48d0574d-5041-4072-b24b-bb61c317045e
53,2, , ,Concepción - Alejandría,62AN19-1, ,Tercer Orden, , , ,Concepción,Alejandría, ,17.0,16.41172528,3.36048,0,0, , ,16514.698180320578,8f5d56f5-02dd-495e-8494-e3f897cc1fe7
54,2, , ,Concepción - San Vicente,62AN19-2, ,Tercer Orden, , , ,Concepción, San Vicente, ,23.08,22.98363136,4.130613,0,0, , ,22849.083259401188,68ccf083-35b9-416d-b0dc-1aad597128ff
55,2, , ,Porcesito - Puente Gavino - La Cortada - Yolombó - Yalí - Playas - Vegachí,62AN21, ,Segundo Orden, , , ,Porcecito, Vegachí, ,77.93,77.94977086,7.288462,0,0, , ,78289.66872771365,9bc70be8-53ca-44c9-bd5e-1ec3cc6d870e
56,2, , ,Puente Gavino - Gómez Plata - El Guayabo - Carolina del Príncipe - La Herradura - Partidas a Guadalupe - Guadalupe,62AN21-1, ,Segundo Orden, , , ,Puente Gavino,Guadalupe., ,54.3,53.61945709,7.118519,0,0, , ,53834.444909891805,7a81c70f-6fcf-4418-9be5-9627b19e7c1c
57,2, , ,El Guayabo - El Salto - Partidas a Guadalupe,62AN21-1-2, ,Tercer Orden, , , ,El Guayabo (Gómez Plata), Partidas a Guadalupe, ,16.3,16.26901867,5.0,0,0, , ,16185.468442925494,9793dfe2-1f0e-4e13-a10f-ad39687ad205
58,2, , ,La Ceja - El Retiro,56AN04, ,Segundo Orden, , , ,La Ceja, El Retiro, ,14.1,14.2,6.0,0,0, , ,14287.283237282176,6f367b20-6f54-4226-bba6-affd2410284b
59,2, , ,La Ceja - Guaico Grande - Abejorral,56AN05, ,Segundo Orden, , , ,La Ceja,Abejorral, ,42.2,42.0,5.723457,0,0, , ,41950.478611029495,68229629-9c7e-49eb-b493-3bc3551aa6de
60,2, , ,Sonsón - Puente San Rafael,56AN09, ,Segundo Orden, , , ,Sonsón, Puente San Rafael, ,19.4,19.1,4.108953,0,0, , ,19221.3299019681,98166232-83be-48fb-8474-ae283685fba1
61,2, , ,Sonsón - La Quiebra - Nariño,56AN10, ,Segundo Orden, , , ,Sonsón,Nariño, ,33.4,32.4,6.584055,0,0, , ,32642.52955249656,7380caec-0c75-4b99-b605-ffd2d436fc35
62,2, , ,La Quiebra - Argelia,56AN10-1, ,Segundo Orden, , , ,La Quiebra, Argelia, ,18.4,17.6,6.265123,0,0, , ,18092.330909126405,72d462b9-b1c0-4593-831b-077cd7f5f845
63,2, , ,Nariño - Puente Linda,56AN10-2, ,Tercer Orden, , , ,Nariño, Puente Linda, ,20.5,20.6,4.550803,0,0, , ,20803.648220347703,9931330f-343a-4f60-9fc3-583e1cb75046
64,2, , ,Santo Domingo Savio - Piedras Blancas - Autopista (Guarne),6004A, ,Tercer Orden, , , ,Santo Domingo Savio, Autopista (Guarne), ,16.2,0.0,3.6,0,0, , ,16513.336396540824,519da579-3ebc-41d4-85b6-422508db8279
65,2, , ,Bolívar - El Chaquiro,60AN01, ,Segundo Orden, , , ,Bolívar, El Chaquiro, ,35.0,33.7,4.025803,0,0, , ,33891.62342254876,011fbd10-eb34-495f-b5ce-c6d0ce21f017
66,2, , ,Puerto Boy - Betania,60AN02-1, ,Segundo Orden, , , ,Puerto Boy,Betania, ,13.5,13.5,7.0,0,0, , ,13682.326462230436,5622a508-06d6-4f1a-8513-7a2dbb550c13
67,2, , ,Pueblorrico - Ye a La Bodega (Andes) - La Bodega (Andes),60AN04-1, ,Tercer Orden, , , ,Pueblorrico, La Bodega (Andes), ,28.0,26.8,4.196689,0,0, , ,27084.621896604178,12e55034-8df1-4212-a7af-3db1ea72451a
68,2, , ,El Barroso - El Chaquiro - Salgar,60AN05, ,Segundo Orden, , , ,El Barroso,Salgar, ,13.9,12.9,5.977778,0,0, , ,13427.200710288425,e555e224-6ec4-48dc-8d3f-df8f0e17443a
69,2, , ,Salgar - La Quiebra,60AN05-1, ,Tercer Orden, , , ,Salgar,La Quiebra, ,18.8,18.7,4.409854,0,0, , ,18914.092729329408,c92a6147-2a2b-4537-b330-766ef6813350
70,2, , ,Concordia - El Socorro - Betulia,60AN06-2, ,Tercer Orden, , , ,Concordia, Betulia, ,53.7,53.0,3.360687,0,0, , ,53006.948330280306,a1df38bf-2013-4c5d-92e9-58ddc8f39cc1
71,2, , ,Bolombolo - Venecia,60AN07, ,Segundo Orden, , , ,Bolombolo, Venecia, ,18.3,18.0,7.930233,0,0, , ,18081.251367934503,345d7c43-ad3e-463f-be29-33a4dfc6d16a
72,2, , ,Albania - Titiribí,60AN08, ,Segundo Orden, , , ,Albania,Titiribí., ,9.6,9.5,6.973684,0,0, , ,9540.503871248751,a5576be4-16e2-48e5-ae18-76d28f22e8f9
73,2, , ,Alto del Chuscal - Armenia - Titiribí,60AN08-1, ,Segundo Orden, , , ,Alto del Chuscal, Titiribí, ,52.4,53.2,5.356522,0,0, , ,52635.735838940214,d97ba369-1fc0-41e1-9a1f-abccbb6c3369
74,2, , ,Titiribí - Sinifaná,60AN08-2, ,Tercer Orden, , , ,Titiribí, Sinifaná, ,25.9,25.5,3.987528,0,0, , ,25809.425426457394,c5f7b92c-7409-4dd6-96fd-6982c8c62d7b
75,2, , ,Camilocé - El Cinco - Fredonia,60AN09, ,Segundo Orden, , , ,Camilocé, Fredonia, ,16.5,16.1,7.757576,0,0, , ,13207.754758386018,bcd1a0e5-6b5b-4736-841c-a441740da316
76,2, , ,El Cinco - Venecia,60AN09-1, ,Segundo Orden, , , ,El Cinco, Venecia, ,7.3,7.2,7.0,0,0, , ,7143.228860442805,74ec2347-ce74-401d-8186-6547a98e2b7a
77,2, , ,Mi Casita (Fredonia) - Venecia,60AN09-2, ,Tercer Orden, , , ,Mi Casita (Fredonia), Venecia, ,21.7,21.2,3.69709,0,0, , ,20810.155465873962,e69b2412-e66d-4071-b676-130333beba44
78,2, , ,La Tolva - Ye a Fredonia,60AN11, ,Segundo Orden, , , ,La Tolva, Ye a Fredonia, ,24.6,23.9,2.225412,0,0, , ,24087.134475237657,700a3cf7-1f23-4980-a1e3-c4195e4dd16a
79,2, , ,Guarne - San Vicente,60AN12, ,Segundo Orden, , , ,Guarne, San Vicente, ,25.0,25.7,4.223381,0,0, , ,25774.97815227597,df00a48d-8f99-4763-a30f-f34f6ac518b9
80,2, , ,Berrío (Cruce Ruta 60) - San Vicente,60AN14, ,Segundo Orden, , , ,Berrío (Cruce Ruta 60), San Vicente, ,11.3,11.2,7.0,0,0, , ,11593.757373891849,775a942c-8a35-4697-a4bb-d08d267ad48d
81,2, , ,San Vicente - El Peñol,60AN14-1, ,Tercer Orden, , , ,San Vicente, El Peñol, ,26.8,26.6,4.9,0,0, , ,26684.396857570657,6e27a60d-607a-40b6-a739-a1f00d779460
82,2, , ,Marinilla - Peñol,60AN15, ,Segundo Orden, , , ,Marinilla, El Peñol, ,17.0,16.1,7.314286,0,0, , ,16482.113821446168,3c6d8763-9c3d-4cc9-a0e6-c59023e336f2
83,2, , ,Marinilla - El Santuario - Carmen de Viboral - Canadá,60AN15-1, ,Segundo Orden, , , ,Marinilla, Canadá, ,28.85,29.48425694,4.135842,0,0, , ,28776.630249178215,12f930c8-bd32-4a56-9920-b30c0b2f4f2c
